equipo, partidos jugados, porcentaje posesion, porcentaje pases acertados, asistencias de gol, goles a favor, goles en contra, tiros a puerta, corners, tarjetas amarillas, tarjetas rojas
ANT, 6, 42, 82.73, 4, 6, 17, 48, 25, 13, 2
SHA, 6, 44, 83.12, 7, 10, 12, 52, 16, 15, 0
POR, 8, 48, 82.35, 11, 16, 9, 78, 24, 15, 0 
BAR, 10, 55, 86.52, 16, 20, 14, 17, 55, 28, 1
EST, 6, 40, 77.83, 5, 7, 15, 62, 27, 20, 0
YOU, 6, 43, 79.01, 5, 7, 13, 53, 23, 13, 1
LEI, 8, 46, 84.26, 13, 14, 12, 87, 49, 18, 0
CIT, 10, 69, 92.45, 18, 28, 13, 151, 64, 10, 0
NEW, 6, 45, 80.89, 4, 6, 7, 48, 25, 11, 0
MIL, 6, 44, 82.48, 4, 5, 8, 70, 36, 17, 0
PSG, 12, 64, 88.79, 11, 19, 13, 155, 89, 30, 0
DOR, 12, 46, 81, 15, 17, 9, 114, 65, 20, 0
CEL, 6, 48, 85.35, 4, 5, 15, 35, 22, 13, 3
FEY, 6, 54, 86.79, 4, 9, 10, 59, 45, 14, 0
LAZ, 8, 44, 85.51, 5, 8, 10, 62, 38, 24, 0
ATM, 10, 49, 85.82, 11, 23, 13, 103, 50, 23, 1
SAL, 6, 44, 77.82, 3, 4, 8, 49, 20, 16, 0
BEN, 6, 49, 81.25, 4, 7, 11, 53, 26, 9, 2
INT, 8, 52, 85.07, 5, 10, 7, 90, 30, 17, 0
SOC, 8, 52, 82.33, 5, 8, 6, 80, 54, 18, 0
BER, 6, 33, 75.97, 4, 6, 10, 49, 17, 16, 0
BRA, 6, 53, 86.74, 5, 6, 12, 61, 35, 10, 1
NAP, 8, 54, 85.61, 5, 12, 13, 67, 58, 14, 0
MAD, 12, 52, 90, 19, 26, 15, 144, 75, 21, 0
SEV, 6, 50, 79.75, 6, 7, 12, 44, 29, 14, 2
LEN, 6, 44, 79.16, 4, 6, 11, 41, 20, 23, 1
PSV, 8, 51, 82.49, 5, 9, 13, 100, 36, 13, 0
ARS, 10, 56, 86.98, 16, 19, 8, 92, 48, 13, 0
MAN, 6, 46, 81.68, 9, 12, 15, 56, 27, 11, 2
GAL, 6, 53, 78.92, 6, 10, 13, 67, 32, 12, 0
KOP, 8, 38, 79.82, 6, 10, 14, 62, 28, 14, 2
BAY, 12, 55, 88.34, 16, 21, 13, 122, 65, 15, 1
