equipo, partidos jugados, porcentaje posesion, porcentaje pases acertados, asistencias de gol, goles a favor, goles en contra, tiros a puerta, corners, tarjetas amarillas, tarjetas rojas
ANT, 6, 42, 82.73, 4, 6, 17, 48, 25, 13, 2
SHA, 6, 44, 83.12, 7, 10, 12, 52, 16, 15, 0
POR, 8, 48, 82.35, 11, 16, 9, 78, 24, 15, 0 
BAR, 8, 59, 87.72, 13, 16, 8, 99, 47, 19, 1
EST, 6, 40, 77.83, 5, 7, 15, 62, 27, 20, 0
YOU, 6, 43, 79.01, 5, 7, 13, 53, 23, 13, 1
LEI, 8, 46, 84.26, 13, 14, 12, 87, 49, 18, 0
CIT, 8, 71, 92.65, 16, 24, 9, 122, 44, 5, 0
NEW, 6, 45, 80.89, 4, 6, 7, 48, 25, 11, 0
MIL, 6, 44, 82.48, 4, 5, 8, 70, 36, 17, 0
PSG, 8, 65, 88.33, 8, 13, 9, 98, 57, 21, 0
DOR, 8, 45, 79.8, 9, 10, 5, 80, 43, 13, 0
CEL, 6, 48, 85.35, 4, 5, 15, 35, 22, 13, 3
FEY, 6, 54, 86.79, 4, 9, 10, 59, 45, 14, 0
LAZ, 8, 44, 85.51, 5, 8, 10, 62, 38, 24, 0
ATM, 8, 51, 86.54, 10, 19, 8, 86, 40, 18, 1
SAL, 6, 44, 77.82, 3, 4, 8, 49, 20, 16, 0
BEN, 6, 49, 81.25, 4, 7, 11, 53, 26, 9, 2
INT, 8, 52, 85.07, 5, 10, 7, 90, 30, 17, 0
SOC, 8, 52, 82.33, 5, 8, 6, 80, 54, 18, 0
BER, 6, 33, 75.97, 4, 6, 10, 49, 17, 16, 0
BRA, 6, 53, 86.74, 5, 6, 12, 61, 35, 10, 1
NAP, 8, 54, 85.61, 5, 12, 13, 67, 58, 14, 0
MAD, 8, 57, 91.19, 15, 18, 8, 107, 57, 14, 0
SEV, 6, 50, 79.75, 6, 7, 12, 44, 29, 14, 2
LEN, 6, 44, 79.16, 4, 6, 11, 41, 20, 23, 1
PSV, 8, 51, 82.49, 5, 9, 13, 100, 36, 13, 0
ARS, 8, 57, 86.55, 14, 17, 5, 77, 43, 10, 0
MAN, 6, 46, 81.68, 9, 12, 15, 56, 27, 11, 2
GAL, 6, 53, 78.92, 6, 10, 13, 67, 32, 12, 0
KOP, 8, 38, 79.82, 6, 10, 14, 62, 28, 14, 2
BAY, 8, 59, 88.59, 12, 15, 7, 87, 46, 9, 1
