fase, equipo1, resultadoparte1, resutadoparte2, equipo2, puntosequipo1, puntosequipo2
Fase de Grupos, ZAG, 1, 0, CHE, 3, 0
Fase de Grupos, DOR, 3, 0, KOP, 3, 0
Fase de Grupos, BEN, 2, 0, MAC, 3, 0
Fase de Grupos, SEV, 0, 4, CIT, 0, 3
Fase de Grupos, SAL, 1, 1, ACM, 1, 1
Fase de Grupos, CEL, 0, 3, MAD, 0, 3
Fase de Grupos, LEI, 1, 4, SHA, 0, 3
Fase de Grupos, PSG, 2, 1, JUV, 3, 0
Fase de Grupos, AJA, 4, 0, RAN, 3, 0
Fase de Grupos, FRA, 0, 3, SPO, 0, 3
Fase de Grupos, INT, 0, 2, BAY, 0, 3
Fase de Grupos, BAR, 5, 1, PLZ, 3, 0
Fase de Grupos, NAP, 4, 1, LIV, 3, 0
Fase de Grupos, ATM, 2, 1, POR, 3, 0
Fase de Grupos, TOT, 2, 0, MAR, 3, 0
Fase de Grupos, BRU, 1, 0, LEV, 3, 0
Fase de Grupos, CIT, 2, 1, DOR, 3, 0
Fase de Grupos, MAC, 1, 3, PSG, 0, 3
Fase de Grupos, JUV, 1, 2, BEN, 0, 3
Fase de Grupos, KOP, 0, 0, SEV, 1, 1
Fase de Grupos, MAD, 2, 0, LEI, 3, 0
Fase de Grupos, CHE, 1, 1, SAL, 1, 1
Fase de Grupos, RAN, 0, 3, NAP, 0, 3
Fase de Grupos, ACM, 3, 1, ZAG, 3, 0
Fase de Grupos, SHA, 1, 1, CEL, 1, 1
Fase de Grupos, LEV, 2, 0, ATM, 3, 0
Fase de Grupos, MAR, 0, 1, FRA, 0, 3
Fase de Grupos, POR, 0, 4, BRU, 0, 3
Fase de Grupos, BAY, 2, 0, BAR, 3, 0
Fase de Grupos, LIV, 2, 1, AJA, 3, 0
Fase de Grupos, SPO, 2, 0, TOT, 3, 0
Fase de Grupos, PLZ, 0, 2, INT, 0, 3

Fase de Grupos, BES, 1, 4, SPO, 3, 0
Fase de Grupos, BRU, 1, 5, CIT, 1, 1
Fase de Grupos, SHA, 0, 5, MAD, 0, 3
Fase de Grupos, PSG, 3, 2, LEI, 3, 0
Fase de Grupos, ATM, 2, 3, LIV, 3, 0
Fase de Grupos, INT, 3, 1, SHE, 3, 0
Fase de Grupos, AJA, 4, 0, DOR, 3, 0
Fase de Grupos, POR, 1, 0, ACM, 3, 0
Fase de Grupos, SAL, 3, 1, WOL, 3, 0
Fase de Grupos, BAR, 1, 0, DIN, 3, 0
Fase de Grupos, LIL, 0, 0, SEV, 1, 1
Fase de Grupos, MAN, 3, 2, ATA, 0, 3
Fase de Grupos, ZEN, 0, 1, JUV, 3, 0
Fase de Grupos, BEN, 0, 4, BAY, 3, 0
Fase de Grupos, CHE, 4, 0, MAL, 3, 0
Fase de Grupos, YOU, 1, 4, VIL, 3, 0

Fase de Grupos, JUV, 4, 2, ZEN, 0, 3
Fase de Grupos, MAL, 0, 1, CHE, 3, 0
Fase de Grupos, WOL, 2, 1, SAL, 0, 3
Fase de Grupos, VIL, 2, 0, YOU, 1, 1
Fase de Grupos, BAY, 5, 2, BEN, 0, 3
