 equipo1, resultadolocal, resutadovisitante, equipo2
 ZAG,1,0, CHE
 DOR,3,0, KOP
 BEN,2,0, MAC
 SEV,0,4, CIT
 SAL,1,1, ACM
 CEL,0,3, MAD
 LEI,1,4, SHA
 PSG,2,1, JUV
 AJA,4,0, RAN
 FRA,0,3, SPO
 INT,0,2, BAY
 BAR,5,1, PLZ
 NAP,4,1, LIV
 ATM,2,1, POR
 TOT,2,0, MAR
 BRU,1,0, LEV
 CIT,2,1, DOR
 MAC,1,3, PSG
 JUV,1,2, BEN
 KOP,0,0, SEV
 MAD,2,0, LEI
 CHE,1,1, SAL
 RAN,0,3, NAP
 ACM,3,1, ZAG
 SHA,1,1, CEL
 LEV,2,0, ATM
 MAR,0,1, FRA
 POR,0,4, BRU
 BAY,2,0, BAR
 LIV,2,1, AJA
 SPO,2,0, TOT
 PLZ,0,2, INT
 CIT,5,0, KOP
 BEN,1,1, PSG
 SEV,1,4, DOR
 MAD,2,1, SHA
 JUV,3,1, MAC
 CHE,3,0, ACM
 LEI,3,1, CEL
 SAL,1,0, ZAG
 LIV,2,0, RAN
 INT,1,0, BAR
 FRA,0,0, TOT
 AJA,1,6, NAP
 BRU,2,0, ATM
 POR,2,0, LEV
 MAR,4,1, SPO
 BAY,5,0, PLZ
 SPO,0,2, MAR
 TOT,3,2, FRA
 PLZ,2,4, BAY
 BAR,3,3, INT
 RAN,1,7, LIV
 LEV,0,3, POR
 ATM,0,0, BRU
 NAP,4,2, AJA
 SHA,1,1, MAD
 CEL,0,2, LEI
 ACM,0,2, CHE
 DOR,1,1, SEV
 ZAG,1,1, SAL
 PSG,1,1, BEN
 KOP,0,0, CIT
 MAC,2,0, JUV
 TOT,1,1, SPO
 NAP,3,0, RAN
 AJA,0,3, LIV
 ATM,2,2, LEV
 BAR,0,3, BAY
 FRA,2,1, MAR
 BRU,0,4, POR
 INT,4,0, PLZ
 LEI,3,2, MAD
 CEL,1,1, SHA
 BEN,4,3, JUV
 ZAG,0,4, ACM
 DOR,0,0, CIT
 PSG,7,2, MAC
 SEV,3,0, KOP
 SAL,1,2, CHE
 POR,2,1, ATM
 LEV,0,0, BRU
 LIV,2,0, NAP
 RAN,1,3, AJA
 BAY,2,0, INT
 PLZ,2,4, BAR
 SPO,1,2, FRA
 MAR,1,2, TOT
 MAD,5,1, CEL
 ACM,4,0, SAL
 SHA,0,4, LEI
 KOP,1,1, DOR
 MAC,1,6, BEN
 CIT,3,1, SEV
 JUV,1,2, PSG
 CHE,2,1, ZAG
 ACM,1,0, TOT
 PSG,0,3, BAY
 BRU,1,7, BEN
 DOR,1,2, CHE
 LIV,2,6, MAD
 FRA,0,5, NAP
 CIT,8,1, LEI
 POR,0,1, INT
 BEN,3,5, INT
 CIT,4,1, BAY
 MAD,4,0, CHE
 ACM,2,1, NAP
 MAD,1,5, CIT
 INT,3,0, ACM
 CIT,1,0, INT
