equipo, numero de partidos, fase lograda, goles a favor, goles en contra, diferencia de goles, porterias a cero, valor de equipo, coeficiente uefa
NAP, 10, cuartos, , , , 
LIV, 8, octavos, , , , 
AJA, 6, fase de grupos, , , , 
RAN, 6, fase de grupos, , , , 
POR, 8, octavos, , , , 
BRU, 8, octavos, , , , 
LEV, 6, fase de grupos, , , , 
ATM, 6, fase de grupos, , , , 
BAY, 10, cuartos, , , , 
INT, 13, final, , , , 
BAR, 6, fase de grupos, , , , 
PLZ, 6, fase de grupos, , , , 
TOT, 8, octavos, , , , 
FRA, 8, octavos, , , , 
SPO, 6, fase de grupos, , , , 
MAR, 6, fase de grupos, , , , 
CHE, 10, cuartos, , , , 
ACM, 12, semis, , , , 
SAL, 6, fase de grupos, , , , 
ZAG, 6, fase de grupos, , , , 
MAD, 12, semis, , , , 
LEI, 8, octavos, , , , 
SHA, 6, fase de grupos, , , , 
CEL, 6, fase de grupos, , , , 
CIT, 13, ganador, , , , 
DOR, 8, octavos, , , , 
KOP, 6, fase de grupos, , , , 
SEV, 6, fase de grupos, , , , 
BEN, 10, cuartos, , , , 
PSG, 8, octavos, , , , 
JUV, 6, fase de grupos, , , , 
MAC, 6, fase de grupos, , , , 
